model_id,sample_id,patient_id,parent_id,model_name,synonyms,tissue,cancer_type,cancer_type_ncit_id,tissue_status,sample_site,cancer_type_detail,model_type,growth_properties,model_treatment,sampling_day,sampling_month,sampling_year,doi,pmed,msi_status,ploidy_snp6,ploidy_wes,ploidy_wgs,mutational_burden,model_comments,model_relations_comment,COSMIC_ID,BROAD_ID,CCLE_ID,RRID,HCMI,suppliers,supplier,cat_number,species,gender,ethnicity,age_at_sampling,family_history_of_cancer,prior_same_malignancy,prior_other_malignancy,smoking_status,alcohol_exposure_intensity,alcohol_consumption_per_week,history_diabetes,diabetes_treatment,colorectal_cancer_risk_factors,patient_history_of_gastrointestinal_disorder,gastrointestinal_disorder_diagnosed,prior_synchronous_colon_rectal_tumours,history_prior_colon_polyps,previous_current_barretts_oesophagus,reflux_disease_prior,reflux_disease_treatment,h_pylori_infection,history_clinical_chronic_pancreatitis,tumour_grade,tnm_integrated,tnm_t,tnm_n,tnm_m,clinical_staging,metastasis_at_diagnosis,metastatic_site_at_diagnosis,method_procurement,sample_treatment,sample_treatment_details,radiation_type,prior_therapy_outcome,tumour_regression_score,colon_polyps_present_at_time_of_tissue_collection,venous_invasion_present,venous_invasion_type,lymphatic_invasion_present,perineural_invasion_present,gastric_oesophageal_junction,barretts_goblet_cells_present,oesophageal_columnar_metaplasia,goblet_cells_oesophageal_columnar_mucosa,degree_of_dysplasia_non_cancerous_oesophageal_columnar_mucosa,peripancreatic_lymph_nodes_tested_surgery,number_positive_peripancreatic_lymph_nodes,mlh1_expression_by_ihc,mlh1_promoter_methylation_status,msh2_expression_by_ihc,pms2_expression_by_ihc,msh6_expression_by_ihc,braf_mutation_identified,braf_expression_by_ihc,pik3ca_mutation_identified,pten_expression_by_ihc,pten_mutation_identified,kras_mutation_identified,mismatch_repair_status,preoperative_ce_alevel,crispr_ko_data
SIDM00074,SIDS00748,SIDP00671,,BL-70,IARC/BL70,Haematopoietic and Lymphoid,Burkitt's Lymphoma,C2912,Unknown,Unknown,Burkitt's Lymphoma,Cell Line,Unknown,,,,,,,MSS,2.01324565,2.00578487,,33.03,,,910707,ACH-000402,BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CVCL_1088,,DSMZ:ACC233,DSMZ,ACC233,Homo Sapiens,Male,White,16,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
SIDM00194,SIDS00610,SIDP00539,,SNU-61,NCI-SNU-61,Large Intestine,Colorectal Carcinoma,C9383,Metastasis,Liver,Rectal Adenocarcinoma,Cell Line,Adherent,,7,7,1988,10.1002/(SICI)1097-0215(19990611)81:6<902::AID-IJC11>3.0.CO;2-T,,MSS,2.695571858,2.779167725,,32.74,,,1660035,ACH-000532,SNU61_LARGE_INTESTINE,CVCL_5078,,KCLB:61,KCLB,61,Homo Sapiens,Male,East Asian,48,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
SIDM01529,SIDS01236,SIDP01127,,253J,,Bladder,Bladder Carcinoma,C4912,Metastasis,Retroperitoneal Lymph Node,Bladder Carcinoma,Cell Line,Adherent,Unknown,,4,1972,10.1093/jnci/53.5.1341,,,,2.516466571,,26.24,,253JB-V was derived from 253J following implantion into the muscular wall of the bladder of athymic nude mice. (10.1016/S0022-5347(01)66923-4).,,ACH-000011,253J_URINARY_TRACT,CVCL_7935,,KCLB:80001,KCLB,80001,Homo Sapiens,Male,White,53,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
SIDM01387,SIDS01410,SIDP01293,,NCI-H1339,,Lung,Small Cell Lung Carcinoma,C4917,Metastasis,Pleural Effusion,Small Cell Lung Carcinoma,Cell Line,Unknown,Unknown,27,2,86,10.1002/jcb.240630505,8806092,,,2.140641352,,111.74,"NCI-H1339, NCI-H157, and NCI-H1264 are reported to come from different donors but have matching STR profiles (Yu et al, 2015). ICLAC made contact with the originator's laboratory to discuss the match. They have fresh stocks of NCI-H1339 with the correct fingerprint matching NCI-BL1339, which is a lymphoblastoid cell line from the same donor. (ICLAC v9)",NCI-BL1339 is a lymphoblastoid line from the same patient as NCI-H1339. (PMID: 8806092).,,ACH-000921,NCIH1339_LUNG,CVCL_A472,,,,,Homo Sapiens,Female,White,49,,,,Smoker,,,,,,,,,,,,,,,,,,,,,,,,Radiotherapy,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
SIDM00217,SIDS00606,SIDP00535,,SNU-1040,NCI-SNU-1040,Large Intestine,Colorectal Carcinoma,C4349,Tumour,Colon,Colon Adenocarcinoma,Cell Line,Adherent,,24,3,1993,10.1002/(SICI)1097-0215(19990611)81:6<902::AID-IJC11>3.0.CO;2-T,,MSI,3.737646312,2.072353674,,1280.89,,,1659823,ACH-000999,SNU1040_LARGE_INTESTINE,CVCL_5003,,KCLB:1040,KCLB,1040,Homo Sapiens,Male,East Asian,34,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
SIDM00799,SIDS00065,SIDP00050,,A172,A-172 MG,Central Nervous System,Glioblastoma,C3058,Tumour,Brain,Glioblastoma,Cell Line,Adherent,,,,,,,MSS,3.456949527,3.546818397,,36.03,,,687563,ACH-000558,A172_CENTRAL_NERVOUS_SYSTEM,CVCL_0131,,ATCC:CRL-1620,ATCC,CRL-1620,Homo Sapiens,Male,Unknown,53,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
SIDM00993,SIDS00452,SIDP00389,,AMO-1,,Haematopoietic and Lymphoid,Plasma Cell Myeloma,C3242,Metastasis,Ascites,Plasma Cell Myeloma,Cell Line,Suspension,,,,1984,,,MSS,3.496529914,3.684514516,,40.42,,,1295741,ACH-000838,AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CVCL_1806,,DSMZ:ACC-538,DSMZ,ACC-538,Homo Sapiens,Female,Unknown,64,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
SIDM01229,SIDS00084,SIDP00067,SIDM00894,BE2-M17,SK-N-BE(2)-M17,Peripheral Nervous System,Neuroblastoma,C3270,Tumour,Bone marrow,Neuroblastoma,Cell Line,Adherent,,,,,,,MSS,1.823922415,1.892442863,,38.34,,BE2-M17 is a subclone of SK-N-BE-2.;BE2-C is a subclone of SK-N-BE-2 (ATCC).,753616,ACH-002217,BE2M17_AUTONOMIC_GANGLIA,CVCL_0167,,ATCC:CRL-2267,ATCC,CRL-2267,Homo Sapiens,Male,Unknown,2,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Chemotherapy;Radiotherapy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
SIDM00990,SIDS00455,SIDP00392,,BEN,,Lung,Non-Small Cell Lung Carcinoma,C2926,Metastasis,Supraclavicular lymph node,Non-Small Cell Lung Carcinoma,Cell Line,Adherent,,,,,,,MSS,3.606117968,3.921862825,,54.82,,,753534,ACH-000603,BEN_LUNG,CVCL_1082,,DSMZ:ACC-254,DSMZ,ACC-254,Homo Sapiens,Male,Unknown,71,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
SIDM00946,SIDS00498,SIDP00435,,DND-41,,Haematopoietic and Lymphoid,T-Lymphoblastic Leukemia,C7953,Tumour,Peripheral Blood,Childhood T Acute Lymphoblastic Leukemia,Cell Line,Suspension,,,,1977,,,MSI,3.841096436,2.022708803,,239.47,,,1297446,ACH-000981,DND41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CVCL_2022,,DSMZ:ACC-525,DSMZ,ACC-525,Homo Sapiens,Male,Unknown,13,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
SIDM00019,SIDS00783,SIDP00701,,NCI-H820,,Lung,Non-Small Cell Lung Carcinoma,C5650,Metastasis,Lymph Node,Papillary Lung Adenocarcinoma,Cell Line,Unknown,,,,1984,,,,2.902647175,,,,,,1333019,ACH-001140,NCIH820_LUNG,CVCL_1592,,ATCC:HTB-181,ATCC,HTB-181,Homo Sapiens,Male,White,53,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
SIDM01658,SIDS01604,SIDP01542,,KMS-21-BM,,Unknown,Unknown,,Unknown,Unknown,,Cell Line,Suspension,Unknown,,,,10.3109/10428190109099339,,,,3.733313385,,36.03,"The origin of KMS-21-BM is unclear. The line was though to originate from the same patient as KMS-21-PE however STR profiling has showed this to be incorrect. The true donor infomration for both lines is consequently uncertain. (JCRB, ICLAC)",,,ACH-000598,KMS21BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,JCRB:JCRB1185,JCRB,JCRB1185,Homo Sapiens,Unknown,Unknown,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
SIDM00216,SIDS00607,SIDP00536,,SNU-175,NCI-SNU-175,Large Intestine,Colorectal Carcinoma,C4349,Metastasis,Peritoneum,Colon Adenocarcinoma,Cell Line,Suspension,,16,5,1989,10.1002/(SICI)1097-0215(19990611)81:6<902::AID-IJC11>3.0.CO;2-T,,MSI,2.025739987,2.050214601,,432.47,,,1659928,ACH-000989,SNU175_LARGE_INTESTINE,CVCL_5031,,KCLB:175,KCLB,175,Homo Sapiens,Female,East Asian,56,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Chemotherapy,5-FU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
SIDM01471,SIDS01386,SIDP01270,,KYO-1,,Haematopoietic and Lymphoid,Chronic Myelogenous Leukemia,C3174,Unknown,Peripheral Blood,Chronic Myelogenous Leukemia,Cell Line,Suspension,Unknown,,,,,,,,3.789347591,,28.11,,,,ACH-000604,KYO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CVCL_2095,,DSMZ:ACC 601,DSMZ,ACC 601,Homo Sapiens,Male,East Asian,22,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
SIDM00959,SIDS00485,SIDP00422,,CMK,,Haematopoietic and Lymphoid,Acute Myeloid Leukemia,C7972,Tumour,Peripheral Blood,Childhood Acute Megakaryoblastic Leukemia,Cell Line,Suspension,,,,1985,,,,3.704122434,3.699463957,,32.32,,"CMK11-5 is a subclone of CMK (PMID: 1391807).;CMK, CMK-86 and CMK-11-5 share high SNP identity (DOI: 10.1038/nature11003).",910566,ACH-000641,CMK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CVCL_0216,,DSMZ:ACC-392,DSMZ,ACC-392,Homo Sapiens,Male,Unknown,0.83,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
SIDM01752,SIDS01608,SIDP01545,SIDM01654,L3-3,,Pancreas,Pancreatic Carcinoma,C8294,Metastasis,Lymph Node,Pancreatic Adenocarcinoma,Cell Line,Adherent,Unknown,,,,10.1002/1097-0142(19920415)69:8<2060::aid-cncr2820690810>3.0.co;2-e,,,,2.987091599,,30.45,Derived through sequential passaging in nude mice of cell line COLO-357.,The L3-3 cell line is one of multiple lines established by sequential passages of a human pancreatic cancer cell line COLO-357 through the nude mouse liver. (PMID: 1544114),,ACH-000685,L33_PANCREAS,,,,,,Homo Sapiens,Female,Black,77,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
SIDM00422,SIDS01169,SIDP01055,,SUP-HD1,,Haematopoietic and Lymphoid,Hodgkin's Lymphoma,C9357,Unknown,Unknown,Hodgkin's Lymphoma,Cell Line,Suspension,,,,1987,,,MSI,1.974498127,2.103275005,,152.21,,,1331039,ACH-001203,SUPHD1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CVCL_2208,,DSMZ:ACC-574,DSMZ,ACC-574,Homo Sapiens,Male,Unknown,37,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Chemotherapy;Radiotherapy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
SIDM01397,SIDS01516,SIDP01397,,WM983B,,Skin,Melanoma,C3224,Metastasis,Lymph Node,Melanoma,Cell Line,Adherent,Unknown,,,,10.1007/BF00046337,,,,2.605770356,,42.29,,WM983A & WM983B were both derived from the same patient. WM983A was derived from the original tumour and WM983B was derived from a metastatic site. (Rockland),,ACH-000765,WM983B_SKIN,CVCL_6809,,Rockland:WM983B,Rockland,WM983B,Homo Sapiens,Unknown,Unknown,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
SIDM01735,SIDS01586,SIDP01525,,HuH-28,,Biliary Tract,Biliary Tract Carcinoma,C35417,Tumour,Unknown,Intrahepatic Cholangiocarcinoma,Cell Line,Adherent,Unknown,,,,10.1007/bf01851205,,,,2.572093412,,41.39,,,,ACH-000808,HUH28_BILIARY_TRACT,,,JCRB:JCRB0426,JCRB,JCRB0426,Homo Sapiens,Female,Unknown,37,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
SIDM00046,SIDS00737,SIDP00661,,H3255,NCI-H3255;H3255_DA,Lung,Non-Small Cell Lung Carcinoma,C3512,Unknown,Unknown,Lung Adenocarcinoma,Cell Line,Unknown,,,,,,,MSS,2.513398136,4.169093943,,23.24,,,1247873,ACH-000109,NCIH3255_LUNG,CVCL_6831,,Unknown:Unknown,Unknown,Unknown,Homo Sapiens,Female,Unknown,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
SIDM01577,SIDS01379,SIDP01263,,KMM-1,,Haematopoietic and Lymphoid,Plasma Cell Myeloma,C3242,Unknown,Subcutaneous Plasmacytoma,Plasma Cell Myeloma,Cell Line,Semi-Adherent,Unknown,,,,10.1007/BF02623725,,,,3.680922695,,75.71,,,,ACH-000889,KMM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CVCL_2981,,JCRB:JCRB1180,JCRB,JCRB1180,Homo Sapiens,Male,East Asian,62,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
SIDM01069,SIDS00524,SIDP00460,,HCC-44,HCC0044,Lung,Non-Small Cell Lung Carcinoma,C3512,Tumour,Lung,Lung Adenocarcinoma,Cell Line,Adherent,,,,,,,MSS,3.017297527,5.348960655,,47.55,,,1240145,ACH-000667,HCC44_LUNG,CVCL_2060,,DSMZ:ACC-534,DSMZ,ACC-534,Homo Sapiens,Female,Unknown,54,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
SIDM00128,SIDS00809,SIDP00722,,JHU-011,JHU-011-SCC;JHU-O11;HNSCC 011,Head and Neck,Head and Neck Carcinoma,C4044,Unknown,Unknown,Laryngeal Squamous Cell Carcinoma,Cell Line,Unknown,,,,,,,MSS,3.275879054,5.401890532,,25.53,,,1240161,ACH-002249,JHU011_UPPER_AERODIGESTIVE_TRACT,CVCL_5986,,,,,Homo Sapiens,Male,Unknown,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
SIDM01037,SIDS00537,SIDP00472,,JIMT-1,,Breast,Breast Carcinoma,C4872,Metastasis,Pleural effusion,Breast Carcinoma,Cell Line,Adherent,,,,,,,MSS,2.510993088,2.589553432,,24.26,,,1298157,ACH-000711,JIMT1_BREAST,CVCL_2077,,DSMZ:ACC-589,DSMZ,ACC-589,Homo Sapiens,Female,Unknown,62,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
SIDM00296,SIDS00682,SIDP00609,,LU-134-A,NCC-c-Lu-134-A-H,Lung,Small Cell Lung Carcinoma,C4917,Tumour,Lung,Small Cell Lung Carcinoma,Cell Line,Suspension,,,,,,,MSS,2.513269321,2.580854404,,52.08,,Lines LU-134-A and LU-134-B have been shown to be related (RIKEN).,753588,ACH-002051,LU134A_LUNG,CVCL_1387,,RIKEN:RCB0466,RIKEN,RCB0466,Homo Sapiens,Male,East Asian,80,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
SIDM00455,SIDS01138,SIDP01025,,PA-TU-8902,,Pancreas,Pancreatic Carcinoma,C8294,Tumour,Unknown,Pancreatic Adenocarcinoma,Cell Line,Adherent,,,,1985,,,MSS,3.899389729,4.151687832,,36.92,,,1298526,ACH-000599,PATU8902_PANCREAS,CVCL_1845,,DSMZ:ACC-179,DSMZ,ACC-179,Homo Sapiens,Female,Unknown,44,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
SIDM00454,SIDS01146,SIDP01033,,RH-18,SJRH18,Soft Tissue,Rhabdomyosarcoma,C8971,Tumour,Unknown,Embryonal Rhabdomyosarcoma,Cell Line,Adherent,,,,,,3607778,MSS,3.514480152,3.846050242,,34.71,The RH-18 cell line was generated from a xenograft derived from a tumor from a previously untreated 2-year-old patient with a perineal RMS assigned as embryonal histology. (PMID: 23882450).,,971774,ACH-000689,RH18_SOFT_TISSUE,CVCL_1659,,DSMZ:ACC-491,DSMZ,ACC-491,Homo Sapiens,Female,Unknown,2,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
SIDM01163,SIDS00392,SIDP00336,,SW1573,,Lung,Non-Small Cell Lung Carcinoma,C2923,Tumour,Unknown,Bronchiolo-Alveolar Lung Carcinoma,Cell Line,Adherent,,,,1977,,,MSS,3.32176115,3.46379008,,29.92,,,724878,ACH-000677,SW1573_LUNG,CVCL_1720,,ATCC:CRL-2170,ATCC,CRL-2170,Homo Sapiens,Female,White,44,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
SIDM01168,SIDS00396,SIDP00340,,SW626,,Large Intestine,Colorectal Carcinoma,C4349,Metastasis,Ovary,Colon Adenocarcinoma,Cell Line,Adherent,,,1,1974,,,MSS,3.21982698,4.031838762,,21.82,SW626 may have been derived from an ovarian metastasis of a primary adenocarcinoma of the colon (ATCC).,,909753,ACH-001399,SW626_OVARY,CVCL_1725,,ATCC:HTB-78,ATCC,HTB-78,Homo Sapiens,Female,White,46,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
SIDM00234,SIDS00704,SIDP00629,,TC-YIK,,Cervix,Other Solid Cancers,C7982,Tumour,Unknown,Cervical Small Cell Carcinoma,Cell Line,Suspension,,,,,,,MSS,2.14828044,2.205653351,,36.34,,,946357,ACH-002201,TCYIK_CERVIX,CVCL_1737,,RIKEN:RCB0443,RIKEN,RCB0443,Homo Sapiens,Female,East Asian,31,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
